time,mag_x,mag_y,mag_z
0.0,7.52308349405683e-06,-3.701662247762086e-05,-3.005662282181296e-05
1.0,7.492856190660543e-06,-3.6971162926833926e-05,-3.01360543390647e-05
2.0,7.46257410747139e-06,-3.692552104978739e-05,-3.021529611024089e-05
3.0,7.432237566052943e-06,-3.687969747409166e-05,-3.0294347691773164e-05
4.0,7.401846888363643e-06,-3.683369282903088e-05,-3.0373208642824882e-05
5.0,7.371402396752247e-06,-3.678750774555548e-05,-3.0451878525301698e-05
6.0,7.340904413953401e-06,-3.674114285627481e-05,-3.053035690386334e-05
7.0,7.3103532630829515e-06,-3.669459879544954e-05,-3.060864334593481e-05
8.0,7.279749267633438e-06,-3.664787619898383e-05,-3.068673742171743e-05
9.0,7.249092751469356e-06,-3.660097570441791e-05,-3.0764638704200726e-05
10.0,7.218384038822473e-06,-3.6553897950919804e-05,-3.084234676917302e-05
11.0,7.187623454287065e-06,-3.6506643579277726e-05,-3.0919861195232985e-05
12.0,7.15681132281518e-06,-3.6459213231891905e-05,-3.099718156380092e-05
13.0,7.125947969711717e-06,-3.641160755276626e-05,-3.107430745912995e-05
14.0,7.095033720629576e-06,-3.636382718750048e-05,-3.115123846831733e-05
15.000000000000002,7.06406890156481e-06,-3.63158727832815e-05,-3.122797418131537e-05
16.0,7.033053838851519e-06,-3.62677449888751e-05,-3.130451419094295e-05
17.0,7.001988859156963e-06,-3.6219444454617356e-05,-3.138085809289651e-05
18.0,6.970874289476405e-06,-3.617097183240599e-05,-3.145700548576121e-05
19.0,6.939710457128094e-06,-3.612232777569178e-05,-3.15329559710221e-05
20.0,6.9084976897480686e-06,-3.607351293946955e-05,-3.160870915307516e-05
21.0,6.877236315284985e-06,-3.602452798026939e-05,-3.168426463923859e-05
22.0,6.8459266619949054e-06,-3.59753735561475e-05,-3.175962203976358e-05
23.0,6.814569058435979e-06,-3.592605032667721e-05,-3.183478096784543e-05
24.0,6.783163833463164e-06,-3.5876558952939686e-05,-3.190974103963475e-05
25.0,6.751711316222852e-06,-3.582690009751459e-05,-3.198450187424825e-05
26.0,6.720211836147424e-06,-3.577707442447074e-05,-3.2059063093779786e-05
27.0,6.688665722949902e-06,-3.5727082599356505e-05,-3.213342432331112e-05
28.0,6.657073306618351e-06,-3.567692528919037e-05,-3.220758519092321e-05
29.000000000000004,6.625434917410361e-06,-3.562660316245085e-05,-3.2281545327706526e-05
30.000000000000004,6.593750885847561e-06,-3.557611688906711e-05,-3.2355304367772405e-05
31.000000000000004,6.5620215427098335e-06,-3.552546714040877e-05,-3.242886194826335e-05
32.0,6.530247219029817e-06,-3.547465458927601e-05,-3.2502217709364325e-05
33.0,6.498428246087105e-06,-3.542367990988938e-05,-3.257537129431304e-05
34.0,6.46656495540242e-06,-3.5372543777879604e-05,-3.264832234941082e-05
35.0,6.434657678732046e-06,-3.5321246870277316e-05,-3.272107052403331e-05
36.0,6.402706748061764e-06,-3.526978986550267e-05,-3.2793615470640947e-05
37.0,6.370712495601074e-06,-3.521817344335462e-05,-3.2865956844789536e-05
38.0,6.338675253777273e-06,-3.5166398285000644e-05,-3.2938094305141e-05
39.0,6.306595355229453e-06,-3.511446507296564e-05,-3.301002751347355e-05
40.0,6.274473132802533e-06,-3.506237449112147e-05,-3.308175613469236e-05
41.0,6.24230891954118e-06,-3.501012722467574e-05,-3.315327983683983e-05
42.0,6.210103048683725e-06,-3.495772396016105e-05,-3.322459829110591e-05
43.0,6.177855853656053e-06,-3.490516538542362e-05,-3.329571117183858e-05
44.0,6.145567668065362e-06,-3.4852452189612324e-05,-3.336661815655382e-05
45.0,6.113238825694048e-06,-3.4799585063167086e-05,-3.343731892594602e-05
46.0,6.080869660493326e-06,-3.4746564697807885e-05,-3.350781316389819e-05
47.0,6.048460506577051e-06,-3.469339178652263e-05,-3.357810055749172e-05
48.0,6.016011698215279e-06,-3.4640067023556234e-05,-3.364818079701679e-05
49.0,5.983523569827929e-06,-3.458659110439827e-05,-3.371805357598201e-05
50.0,5.950996455978382e-06,-3.45329647257716e-05,-3.378771859112471e-05
51.0,5.918430691366951e-06,-3.447918858562021e-05,-3.38571755424205e-05
52.0,5.885826610824449e-06,-3.442526338309724e-05,-3.392642413309326e-05
53.0,5.853184549305604e-06,-3.437118981855301e-05,-3.3995464069624704e-05
54.0,5.820504841882504e-06,-3.4316968593522704e-05,-3.406429506176458e-05
55.0,5.787787823737904e-06,-3.42626004107138e-05,-3.413291682253934e-05
56.0,5.755033830158656e-06,-3.420808597399413e-05,-3.420132906826272e-05
57.0,5.722243196528945e-06,-3.415342598837911e-05,-3.4269531518544666e-05
58.00000000000001,5.689416258323586e-06,-3.409862116001904e-05,-3.433752389630083e-05
59.00000000000001,5.6565533511011925e-06,-3.404367219618651e-05,-3.4405305927762154e-05
60.00000000000001,5.623654810497416e-06,-3.3988579805263724e-05,-3.447287734248385e-05
